Timestamp start: 1747214468358
Timestamp end: 1747215308632

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      210.3   113.4    59.1   103.2   113.0   183.9   231.6   260.3   280.2   302.8   331.5   375.8   543.9  1318.4  2551.8 106911.7   107066
read      246.5   141.6    63.8   102.1   113.5   227.7   279.0   307.4   327.1   349.5   377.9   427.5   754.2  1637.3  2744.9  46014.7    46119
read      209.5   184.5    68.9   117.7   135.0   192.0   213.1   225.9   234.8   247.7   265.1   298.9   660.4  2629.6  7503.9  10193.0    10227
read      202.0    81.8    74.4   116.3   133.4   193.4   215.8   228.6   237.4   249.5   265.5   292.0   454.2  1190.2  1541.0  10891.7    10870
read      311.2   383.8    68.9   116.9   132.2   226.1   270.4   296.1   316.8   344.6   395.3  1059.5  1792.9  3951.4  7776.8 146167.7   146664
read      214.5   121.2    68.9   105.9   121.7   204.0   230.7   246.0   257.1   270.6   289.6   321.0   549.2  1837.0  3235.3  19837.7    19865
read      222.8   208.7    63.8   102.6   112.7   184.3   230.5   258.6   278.0   300.6   330.0   382.2   975.6  2821.7  5816.3 113340.7   113409
read      231.8   193.2    63.8   100.1   110.2   202.1   253.4   278.4   296.0   317.5   347.1   408.8   890.0  2632.6  5175.6  70684.3    70623
read      247.1   355.9    63.8    99.0   109.6   221.8   273.9   304.3   325.4   349.6   379.8   427.8   733.1  1806.1 20902.4  52615.3    52633
read      229.8   197.2    63.8   102.1   112.1   188.0   240.1   271.8   294.9   322.9   362.3   433.8   899.1  2597.8  4654.1 104406.0   104630
read      252.3   644.5    63.8   100.1   111.6   223.3   271.3   297.5   315.9   336.8   363.1   403.9   778.9  1899.9 37333.3  42402.7    42594
read      264.5   238.0    63.8   102.1   112.8   204.9   273.8   323.1   359.3   397.7   443.7   520.9  1314.7  2720.8  4730.1  95231.3    95196
read      244.7   241.3    68.9    98.4   109.1   221.0   273.8   304.0   324.7   348.6   378.0   427.1   685.3  2141.3 11686.1  52077.0    52243
read      235.3   119.8    63.8   100.5   112.5   222.6   268.0   291.4   308.0   326.7   350.7   392.0   644.3  1365.3  1991.1  37071.0    37031
read      235.1   126.0    68.9    99.6   111.3   221.8   268.8   294.0   311.4   331.1   356.2   395.9   584.8  1282.9  2709.0  40086.3    39878
read      239.2   213.2    68.9   102.6   113.0   189.9   240.9   272.9   297.1   328.8   377.8   486.4  1123.6  2604.9  4006.4 110801.7   110750
read      193.5   223.8    68.9   112.5   127.3   179.5   199.3   211.6   220.1   230.9   245.6   272.8   405.5  1684.0 11223.1   8308.7     8231
read      246.0   183.8    63.8    98.9   109.0   214.6   269.4   300.4   324.1   353.1   390.5   450.7   977.8  2138.9  3220.5  63822.0    63638
read      263.6   231.4    63.8   100.7   111.4   206.5   274.3   319.4   353.0   391.6   440.2   527.9  1237.9  2613.9  3868.8  90056.0    90167
read      241.5   145.0    59.1    98.5   109.5   221.4   273.1   302.8   323.1   346.4   376.4   425.3   717.9  1743.5  3095.7  50467.7    50555
read      207.1    93.4    68.9   107.5   125.1   200.5   226.7   240.9   251.7   264.7   281.0   309.4   396.4  1171.7  2232.4  16048.3    15997
read      238.1   143.1    68.9    99.8   111.1   221.3   267.1   292.3   311.1   333.1   361.5   407.2   702.8  1824.4  3035.8  43069.3    43089
read      200.8    89.3    68.9   111.2   128.5   193.3   217.3   230.1   239.2   250.9   267.4   294.3   391.2  1190.3  2011.0  12281.0    12188
read      249.1   172.0    68.9    99.0   109.3   212.7   278.6   317.8   345.7   377.9   417.1   478.0   855.5  1760.6  4815.3  76654.3    76615
read      247.5   273.0    68.9   109.4   121.3   198.0   240.0   265.4   284.2   307.7   340.1   410.8  1476.8  3479.1  7118.1 143271.0   143480
read      240.5   156.2    68.9    98.9   109.3   215.7   270.0   300.9   323.7   350.2   385.1   438.7   779.8  1818.1  2879.6  63945.0    63793
